Location,Transmission,Mileage,Engine,Power,Seats,Price,Brand_Name,Car_Age
6.71,Manual,25.4,624,37.5,4,1.53,0.030902143,7
8.305,Manual,25.32,1198,77,6,5.58,0.045190231,4
6.71,Manual,18.5,1197,82.9,5,4.74,0.183917594,7
6.85,Automatic,14.62,1999,149.92,5,8.85,0.183917594,7
5.75,Automatic,14.28,1798,138.03,5,10.11,0.068283768,5
5.9,Manual,14.9,1991,112.2,5,4.25,0.183917594,13
6.85,Manual,11.25,2694,163.7,7,10.95,0.068283768,9
4.25,Manual,24.4,1120,71,5,3.85,0.183917594,7
4.25,Manual,16.55,2498,105,6,5.5,0.045190231,9
6.71,Automatic,17.11,1968,174.33,5,21.43,0.039209171,6
5.5,Manual,22.9,1248,74,5,4.25,0.201196212,7
3.75,Manual,17.8,1248,75,5,3.3,0.201196212,7
5.5,Manual,28.4,1248,74,5,3.85,0.201196212,8
4.5,Manual,18.9,1197,82,5,3.6,0.183917594,6
3.75,Manual,15.04,1598,103.2,5,3.99,0.052334275,6
6.71,Manual,25.17,799,53.3,5,3.3,0.02409038,4
3.75,Manual,20.36,1197,78.9,5,2.07,0.183917594,11
5.8,Automatic,13.29,1995,147.6,5,7.75,0.01511879,11
5.8,Manual,18.2,998,67.1,5,2.25,0.201196212,11
5.75,Manual,13.68,2393,147.8,8,16.5,0.068283768,4
6.85,Manual,20,1399,68,5,2.75,0.049842166,11
5.5,Automatic,11.74,1796,186,5,26.7,0.052832696,6
4.25,Manual,15.8,2148,170,5,10,0.052832696,10
4.5,Manual,25,1396,69,5,2.5,0.030902143,5
4.25,Automatic,16.55,1968,140,5,13.5,0.039209171,9
5.75,Automatic,16.4,1497,78,5,1.85,0.101013457,14
8.305,Automatic,17,1950,194,5,35.67,0.052832696,2
4.25,Manual,24.52,1248,88.5,7,8.15,0.201196212,5
5.75,Manual,22.1,1396,88.7,5,10.5,0.183917594,3
5.75,Automatic,8.5,4806,500,5,14.5,0.00299053,13
5.75,Manual,15.1,2179,140,7,9.65,0.045190231,6
6.71,Automatic,16.95,1197,78.9,5,3.48,0.183917594,9
6.71,Manual,19.64,1461,108.5,5,6.92,0.01511879,6
8.305,Automatic,16.5,1198,86.8,5,6.46,0.101013457,5
5.5,Automatic,18.53,1968,187.74,5,29.5,0.039209171,7
4.25,Manual,17.8,1399,74,5,2,0.049842166,13
4.5,Manual,12.4,1998,132,8,4.5,0.068283768,15
5.8,Manual,12.8,2494,102,7,11.75,0.068283768,9
5.8,Manual,17,1086,74,5,1.3,0.183917594,16
4.25,Manual,22.9,1248,74,5,3.75,0.201196212,9
4.25,Manual,17.57,1193,88.7,5,4.5,0.030902143,4
6.71,Manual,18,1198,86.7,5,4.82,0.101013457,5
5.8,Manual,20,1399,68,5,2.8,0.049842166,9
4.25,Manual,23.2,1248,73.94,5,3.11,0.201196212,8
5.5,Manual,17.8,1497,117.3,5,3.25,0.101013457,12
5.5,Automatic,16.73,1995,218,5,13.9,0.044359528,10
4.25,Manual,20.36,1197,78.9,5,2.25,0.183917594,12
6.85,Manual,18.9,1197,82,5,5.75,0.183917594,5
5.8,Manual,17,1086,74,5,2.1,0.183917594,14
5.75,Manual,17.8,1198,86.7,5,5,0.101013457,5
5.5,Manual,13,2982,168.5,7,16.5,0.068283768,7
8.305,Automatic,17.68,1968,174.33,5,39.58,0.039209171,3
5.5,Manual,22.7,1498,89.84,5,5.5,0.049842166,8
5.5,Manual,15.1,2179,140,7,8.1,0.045190231,7
3.75,Manual,25.8,1498,98.6,5,3.5,0.101013457,6
3.75,Manual,22.07,1199,73.9,5,2.79,0.052334275,8
5.9,Manual,16.2,1493,110,5,3.45,0.183917594,11
6.85,Manual,18.9,998,67.1,5,4.45,0.201196212,5
5.5,Manual,15.26,1598,103.5,5,2.65,0.052334275,11
4.25,Manual,23,1396,90,5,3.8,0.183917594,10
5.75,Manual,18.5,1197,82.85,5,4.65,0.183917594,7
4.25,Manual,19.83,1198,67,7,3.95,0.002159827,4
3.75,Automatic,14.94,2967,241.4,5,9.8,0.039209171,11
4.25,Manual,17,1197,80,5,2.7,0.183917594,12
8.305,Manual,14,796,35,5,2.41,0.201196212,11
5.9,Manual,17.71,1197,78.9,5,3.9,0.068283768,7
5.8,Automatic,14.74,2993,270.9,5,24,0.006645622,10
5.5,Manual,16,2179,140,7,5.75,0.045190231,9
3.75,Automatic,22.32,1582,126.32,5,5.25,0.183917594,7
5.75,Automatic,11.36,2755,171.5,7,19.25,0.068283768,4
8.305,Manual,15.1,1196,73,5,3.91,0.201196212,4
6.85,Manual,25.4,624,37.5,4,2.15,0.030902143,7
5.75,Automatic,22.69,1995,190,5,20.75,0.044359528,6
5.5,Manual,13.5,1799,130,5,3.35,0.101013457,11
5.9,Manual,12.99,2494,100.6,7,11.11,0.068283768,7
6.85,Automatic,23.3,1984,150,5,20,0.003488952,7
8.305,Automatic,19.15,1198,75.94,5,6.55,0.01511879,5
5.75,Automatic,10.8,2497,215,5,7,0.044359528,12
5.75,Manual,24.3,1248,88.5,5,7.5,0.201196212,5
5.75,Manual,17,1086,74,5,0.85,0.183917594,16
4.25,Automatic,15,2143,107.3,5,16.75,0.052832696,7
3.75,Manual,22,1582,126.2,5,10.95,0.183917594,3
4.25,Manual,18.9,998,67.1,5,2.45,0.201196212,10
8.305,Automatic,21.9,624,37.48,4,3.23,0.030902143,4
3.75,Manual,12.05,2179,120,8,7.75,0.045190231,7
3.75,Automatic,11.7,1796,178,5,9.35,0.052832696,12
4.25,Manual,26.6,998,58.16,5,3.25,0.201196212,8
6.85,Manual,10.8,2354,152,5,5.25,0.101013457,14
4.25,Automatic,21.21,1498,103.2,5,7.25,0.052334275,6
6.71,Manual,20.73,1373,91.1,5,7.47,0.201196212,4
4.25,Automatic,16,2179,140,7,13.25,0.045190231,5
8.305,Manual,21.1,1197,85.8,5,5.81,0.201196212,5
5.8,Manual,24.07,998,67.1,5,2.6,0.201196212,7
3.75,Automatic,19,2996,362.07,2,54,0.052832696,4
6.71,Automatic,17,1591,121.3,5,11.5,0.183917594,2
4.5,Manual,19.7,796,46.3,5,1.6,0.201196212,11
8.305,Automatic,20.58,1995,143,5,17.22,0.044359528,6
5.75,Automatic,19,1199,88.7,5,6,0.101013457,6
5.5,Manual,13.5,1799,130,5,3.95,0.101013457,9
6.71,Automatic,19.27,2143,170,5,17.95,0.052832696,7
3.75,Manual,25.8,1498,98.6,5,3.7,0.101013457,7
6.71,Manual,22,1197,81.8,5,5.43,0.201196212,5
6.71,Manual,17,1086,74,5,1.67,0.183917594,13
8.305,Manual,11.5,2982,171,7,13.49,0.068283768,9
4.25,Manual,18.6,1199,76.8,5,2.85,0.020103007,7
4.5,Manual,21.14,1498,103.52,5,4.75,0.028742316,8
6.71,Manual,20.73,1373,91.1,5,9.9,0.201196212,3
5.75,Automatic,11.05,2894,444,4,37,0.039209171,8
5.75,Automatic,21.76,1995,190,5,26.5,0.044359528,7
8.305,Automatic,17.11,1968,174.33,5,23.32,0.039209171,6
4.5,Manual,22.9,1248,74,5,6.25,0.201196212,5
3.75,Automatic,7.81,5461,362.9,5,30,0.052832696,11
8.305,Automatic,21.66,1498,103.52,5,9.86,0.028742316,5
4.25,Automatic,17.2,1968,138.1,5,8.5,0.028742316,9
6.71,Manual,21.1,814,55.2,5,4.23,0.183917594,2
4.25,Manual,22.07,1199,73.9,5,3.5,0.052334275,9
3.75,Manual,20.63,1198,67.06,5,2.5,0.002159827,5
3.75,Manual,19.4,1198,86.8,5,2.39,0.101013457,8
5.5,Automatic,14.8,1595,120.7,5,11.25,0.052832696,8
6.71,Manual,26,1498,98.6,5,7.11,0.101013457,6
5.9,Manual,12.99,2494,100.6,7,10.9,0.068283768,5
5.9,Manual,20.4,1197,81.8,5,6.2,0.201196212,4
5.75,Manual,15.1,2179,140,7,7.9,0.045190231,9
6.71,Manual,22.7,1498,89.84,5,4.42,0.049842166,7
5.75,Manual,13,2982,168.5,7,13.5,0.068283768,9
4.5,Automatic,21.5,1498,108.5,5,6.25,0.052334275,8
4.25,Manual,20,1399,68,5,2.1,0.049842166,11
5.75,Automatic,15.3,2993,258,5,45,0.044359528,6
8.305,Automatic,19.27,2143,167.62,5,33.66,0.052832696,4
6.85,Manual,19.4,1198,86.8,5,3.65,0.101013457,9
5.5,Manual,20.36,1197,78.9,5,2.75,0.183917594,8
6.85,Automatic,17.9,2143,170,5,42.5,0.052832696,5
3.75,Manual,18.9,1197,81.86,5,6.5,0.183917594,2
5.75,Automatic,17.68,1968,174.33,5,19,0.039209171,9
5.75,Automatic,14.4,1598,103.6,5,4.45,0.052334275,8
4.25,Automatic,16.6,1998,112,5,23,0.004319654,4
6.85,Manual,22.54,1396,88.73,5,8.35,0.183917594,7
5.75,Automatic,17.68,1968,174.33,5,22.95,0.039209171,7
4.25,Manual,25.44,936,57.6,5,1.5,0.020103007,9
6.71,Automatic,13.7,1798,157.75,5,6.89,0.028742316,9
4.5,Manual,17.8,1399,68,5,1.45,0.049842166,15
5.8,Automatic,22.48,1995,190,5,33.5,0.044359528,7
4.25,Manual,12.9,1598,102.5,5,1.25,0.020103007,14
5.8,Manual,22.07,1199,73.9,5,4.2,0.052334275,9
5.75,Manual,19.98,1461,108.5,8,6.75,0.02409038,6
6.85,Automatic,13,2143,201.1,5,32,0.052832696,7
6.71,Manual,21.4,1197,83.1,5,7.5,0.201196212,4
5.5,Manual,22.32,1582,126.32,5,4.6,0.183917594,9
6.71,Manual,19.81,1086,68.05,5,4.04,0.183917594,4
6.71,Manual,15.4,1997,120,7,10.31,0.045190231,5
8.305,Automatic,12.7,2179,187.7,5,55.76,0.009968433,3
4.5,Manual,20,1399,68,5,2.6,0.049842166,11
5.75,Manual,25.47,1248,88.5,7,8.5,0.201196212,5
5.9,Manual,17,1197,74,5,2.95,0.101013457,14
3.75,Manual,25.8,1498,98.6,5,3.5,0.101013457,7
4.25,Manual,20.36,1197,78.9,5,3.55,0.183917594,6
3.75,Manual,25.8,1498,98.6,5,3.25,0.101013457,8
5.8,Manual,17.5,1896,106,5,4.5,0.028742316,13
5.5,Manual,19.87,1461,83.8,5,5.35,0.02409038,7
4.5,Manual,17.45,1493,100,7,6.5,0.045190231,4
5.75,Manual,24.3,1248,88.5,5,9,0.201196212,5
6.71,Manual,18.6,1197,81.83,5,6,0.183917594,5
4.25,Manual,14.7,1390,85,5,2.75,0.028742316,12
4.25,Manual,15.64,1193,64.1,5,1.5,0.030902143,11
5.5,Automatic,15.73,1968,174.33,5,19.9,0.039209171,6
5.75,Automatic,14.7,1798,177.5,5,10,0.028742316,7
5.5,Manual,23.59,1364,67.06,5,3,0.068283768,7
3.75,Manual,16.1,1197,74,5,2.11,0.201196212,11
6.71,Automatic,14.8,1595,120.7,5,11.96,0.052832696,7
3.75,Manual,27.4,1498,98.6,5,3.25,0.101013457,8
4.25,Manual,22.32,1582,126.32,5,4.75,0.183917594,9
5.75,Manual,20.46,1461,83.8,5,5.95,0.02409038,7
5.5,Manual,15.29,1591,121.3,5,8.15,0.183917594,6
5.75,Automatic,20.51,998,67,5,4.22,0.201196212,5
3.75,Automatic,11.74,1796,186,5,10.5,0.052832696,11
5.5,Automatic,11.8,2967,246.7,5,45,0.039209171,9
4.25,Manual,19.81,1086,68.05,5,2.9,0.183917594,9
5.75,Automatic,14.3,1598,103.52,5,8.9,0.028742316,4
5.8,Automatic,14.67,1798,177.46,5,26,0.028742316,4
8.305,Manual,17.19,1197,81.86,5,8.22,0.183917594,3
3.75,Manual,25.8,1498,98.6,5,3.5,0.101013457,7
4.5,Manual,18.9,998,67.1,5,1.25,0.201196212,17
5.8,Manual,21.03,1461,65,5,3.7,0.045190231,8
8.305,Automatic,19.27,2143,167.62,5,39.41,0.052832696,3
3.75,Manual,22.5,998,67.04,5,2.65,0.201196212,8
8.305,Manual,19.01,1461,108.5,5,8.92,0.01511879,6
5.5,Manual,17.8,1248,74,5,4.1,0.201196212,8
6.71,Automatic,16.82,1998,189.08,4,35.67,0.004319654,4
6.85,Manual,17,1498,99,5,3.6,0.049842166,6
4.25,Manual,17.2,1396,53.5,5,0.85,0.030902143,14
6.71,Manual,18.6,1199,76.8,5,3.32,0.020103007,5
5.75,Manual,22.07,1199,73.9,5,3.6,0.052334275,9
5.8,Manual,22.9,1248,74,5,6.8,0.201196212,5
3.75,Manual,20,1399,68.05,5,2.5,0.049842166,9
6.71,Automatic,11.36,2755,171.5,7,19.64,0.068283768,2
5.75,Automatic,11.72,2199,194.3,7,7,0.183917594,10
3.75,Manual,17.4,1497,117.3,5,3.87,0.101013457,10
6.71,Manual,18.6,1197,81.83,5,6.27,0.183917594,3
6.71,Automatic,19.27,2143,167.62,5,18.12,0.052832696,6
5.75,Manual,25.44,936,57.6,5,2.65,0.020103007,8
6.71,Manual,22.54,1396,88.73,5,7.2,0.183917594,6
8.305,Manual,12.99,2494,100.6,7,14.3,0.068283768,6
4.5,Manual,20.77,1248,88.76,7,6.9,0.201196212,8
5.75,Manual,12.8,2494,102,7,10.75,0.068283768,7
5.75,Manual,17,1086,74,5,0.95,0.183917594,14
6.71,Manual,17.8,1497,117.3,5,8.09,0.101013457,5
5.9,Automatic,17.05,1995,184,5,18.5,0.044359528,7
5.75,Manual,24,1120,70,5,4.75,0.183917594,4
4.5,Manual,28.09,1248,88.5,5,8.45,0.201196212,5
3.75,Manual,20.5,1598,103.6,5,3.5,0.028742316,9
6.71,Manual,13.1,1493,82,5,1.8,0.183917594,15
4.25,Manual,19.91,1498,103.6,5,3.7,0.052334275,7
8.305,Manual,18.7,1199,88.7,5,7.17,0.101013457,4
4.25,Manual,19.81,1086,68.05,5,1.75,0.183917594,11
6.71,Automatic,16.38,1995,183,5,21.99,0.183917594,3
4.25,Manual,13.68,2393,147.8,7,18.65,0.068283768,4
4.25,Manual,19.7,796,35,5,1.85,0.201196212,10
8.305,Manual,20.4,1197,81.8,5,5.95,0.201196212,4
5.75,Manual,18.9,1197,82,5,3.75,0.183917594,7
4.25,Manual,22.9,1248,74,5,3.75,0.201196212,9
5.8,Manual,22,1582,126.2,5,2.6,0.183917594,13
5.8,Manual,17,1086,74,5,1.75,0.183917594,15
5.75,Manual,17,1197,80,5,2.8,0.183917594,11
8.305,Automatic,11.57,2987,254.79,5,61.29,0.052832696,4
6.85,Manual,15.8,2148,170,5,18,0.052832696,7
5.8,Manual,23.2,1248,73.94,5,4.35,0.201196212,7
6.85,Manual,19.67,1582,126.2,5,13.75,0.183917594,5
4.25,Manual,19,998,66.1,5,2,0.201196212,11
5.5,Manual,19.64,1461,108.45,5,10,0.02409038,5
5.5,Manual,17.8,1248,76,5,1.65,0.004651936,11
8.305,Automatic,16.55,2993,258,5,45.77,0.044359528,4
6.85,Manual,20.36,1197,78.9,5,3.25,0.183917594,11
4.25,Manual,12.8,2494,102,7,12.8,0.068283768,5
5.75,Manual,17.3,993,60,5,0.55,0.201196212,19
5.8,Manual,28.4,1248,74,5,7.15,0.201196212,3
4.25,Manual,12.05,2179,120,8,7,0.045190231,8
4.25,Manual,22.95,1248,74,5,3.75,0.030902143,4
5.75,Manual,18.88,999,123.24,5,8.5,0.049842166,4
4.25,Manual,23.4,1248,74,5,4.35,0.201196212,9
6.71,Manual,22.74,796,47.3,5,3.26,0.201196212,5
4.25,Manual,17,1497,118,5,4.21,0.101013457,10
6.71,Automatic,12.07,2967,241.4,7,70.36,0.039209171,3
5.75,Automatic,17,1896,105,5,2.95,0.028742316,12
6.71,Manual,17.1,1591,121.3,5,4.28,0.183917594,9
4.25,Automatic,16.8,1497,118,5,3.57,0.101013457,12
3.75,Manual,21.9,1396,88.8,5,3.11,0.183917594,8
8.305,Automatic,15,1396,98.6,5,5.96,0.183917594,7
5.8,Manual,20.54,1598,103.6,5,4.7,0.052334275,10
5.9,Manual,17.4,1497,117.3,5,6.9,0.101013457,7
4.25,Manual,22.95,1248,74,5,5.25,0.030902143,3
4.25,Automatic,18.48,1995,177,5,28,0.044359528,6
5.5,Manual,18.9,1061,67,5,1.35,0.201196212,12
5.5,Manual,18.2,1199,88.7,5,4.85,0.101013457,6
8.305,Manual,15,1896,105,5,6.7,0.052334275,9
5.8,Manual,20.36,1197,78.9,5,3.1,0.183917594,11
6.71,Automatic,19.27,2143,170,5,18.64,0.052832696,6
4.25,Manual,20.36,1197,78.9,5,2.8,0.183917594,9
4.5,Manual,13.68,2393,147.8,7,20.25,0.068283768,5
6.71,Automatic,17.68,1968,174.33,5,26.78,0.039209171,6
5.8,Manual,12.99,2494,100.6,7,8.26,0.068283768,11
5.75,Manual,16.47,1198,73.9,5,3.89,0.052334275,6
5.8,Manual,20.92,998,67.1,5,2.1,0.201196212,10
5.75,Automatic,18,1497,117.3,5,12.69,0.101013457,4
8.305,Manual,17,1405,70,5,2.58,0.030902143,8
6.71,Automatic,17.68,1968,174.33,5,20.77,0.039209171,7
5.5,Automatic,17.9,2143,136,5,20.26,0.052832696,6
4.5,Manual,17,1086,74,5,1.5,0.183917594,15
3.75,Manual,17.8,1248,74,5,2.5,0.201196212,10
5.8,Automatic,23.1,998,67.04,5,4.25,0.201196212,7
5.8,Automatic,17.9,2143,201.15,5,57,0.052832696,4
5.5,Automatic,12.7,2179,187.7,5,44,0.009968433,4
5.8,Manual,20.54,1598,103.6,5,3.65,0.052334275,10
5.8,Manual,14,796,35,5,2.05,0.201196212,9
6.71,Manual,18.5,1198,86.8,5,3.13,0.101013457,9
5.8,Manual,14.07,2956,83.1,7,1.5,0.030902143,21
4.25,Manual,18,1248,75,5,2.85,0.030902143,9
5.5,Manual,18.9,998,67.1,5,2.65,0.201196212,9
5.8,Manual,16,2179,140,7,10.6,0.045190231,6
4.25,Manual,17.1,1396,70,5,1.25,0.030902143,13
5.75,Manual,16.02,1373,93.7,7,8.25,0.201196212,3
5.75,Automatic,11.7,2354,177.6,5,4.45,0.101013457,10
3.75,Manual,19.3,1248,73.9,5,3.7,0.201196212,9
5.8,Manual,17.8,1399,68,5,2.8,0.049842166,12
3.75,Manual,17.7,1497,78,5,1.8,0.101013457,13
6.71,Automatic,17.68,1968,174.33,5,21.95,0.039209171,7
5.75,Automatic,9.52,2993,313,4,49,0.044359528,10
8.305,Automatic,14.75,2967,245,7,62.67,0.039209171,4
4.25,Manual,26.3,998,67.1,5,1.4,0.201196212,13
4.25,Manual,23,1396,90,5,5.5,0.183917594,9
6.85,Automatic,16.95,1197,78.9,5,2.95,0.183917594,12
6.71,Automatic,19,1199,88.7,5,6.86,0.101013457,5
5.8,Manual,25.2,1248,74,5,6.15,0.201196212,6
4.25,Manual,18.5,1197,82.85,5,3.3,0.183917594,10
3.75,Manual,16.47,1198,73.9,5,2.55,0.052334275,10
5.9,Manual,19.7,796,46.3,5,1.5,0.201196212,12
4.5,Automatic,11.3,1794,125,5,2.5,0.068283768,17
4.5,Manual,19.7,796,46.3,5,1.4,0.201196212,15
4.25,Manual,21.12,1248,88.8,5,3.4,0.030902143,9
4.25,Manual,19.7,796,46.3,5,2.25,0.201196212,9
3.75,Automatic,19.3,1968,141,5,7.5,0.028742316,8
3.75,Automatic,11.3,1794,125,5,2.8,0.068283768,13
8.305,Manual,18.6,1197,81.83,5,7.66,0.183917594,5
4.5,Manual,24.3,1248,88.5,5,7.15,0.201196212,5
5.5,Manual,17,1497,118,5,3.5,0.101013457,11
5.8,Manual,18,1248,75,5,3.5,0.030902143,7
3.75,Manual,25.8,1498,98.6,5,3.45,0.101013457,8
8.305,Manual,21.1,814,55.2,5,3.55,0.183917594,5
6.71,Automatic,21.76,1995,190,5,25.99,0.044359528,6
6.85,Manual,22.32,1582,126.32,5,5.25,0.183917594,9
5.9,Manual,21.02,1248,88.8,5,2.9,0.030902143,8
4.25,Automatic,14.45,1984,227,5,2.05,0.028742316,16
4.25,Manual,24.07,998,67.1,5,3.75,0.201196212,4
5.75,Manual,22.7,1498,89.84,5,6.75,0.049842166,7
3.75,Manual,18,995,62,5,0.95,0.020103007,10
5.8,Automatic,19.33,1999,177,5,52,0.006645622,4
4.25,Manual,13.1,1997,141.1,5,3.91,0.101013457,14
6.71,Automatic,14.67,1798,177.46,5,27.3,0.028742316,2
4.5,Manual,20.36,1197,78.9,5,2.7,0.183917594,12
5.5,Manual,22.9,1248,74,5,3.5,0.201196212,8
5.75,Automatic,18.5,1197,83.14,5,6.2,0.201196212,5
4.5,Manual,23.08,1461,63.1,5,2.75,0.01511879,10
5.75,Manual,23.4,1248,74,5,3.25,0.201196212,6
4.25,Manual,17.8,1399,67,5,3.25,0.049842166,9
3.75,Manual,17.3,993,60,5,0.65,0.201196212,18
4.25,Manual,13.8,1998,192,5,35,0.004319654,4
3.75,Manual,23.59,1364,67.05,5,3.25,0.068283768,7
3.75,Manual,24.7,796,47.3,5,2.9,0.201196212,3
6.85,Manual,18.9,796,47,5,2.9,0.201196212,10
6.85,Automatic,11,2993,235,5,17.75,0.044359528,12
5.75,Automatic,11.07,2496,179.5,5,8.25,0.01511879,6
8.305,Automatic,18.9,1197,82,5,5.77,0.183917594,6
5.8,Manual,24.3,1248,88.5,5,9.49,0.201196212,4
5.75,Automatic,12.07,2967,241.4,7,12.95,0.039209171,13
4.5,Automatic,17.9,2143,136,5,20,0.052832696,6
4.5,Manual,16.1,796,37,4,1,0.201196212,14
4.5,Manual,20.45,1461,83.8,5,7.1,0.02409038,6
5.75,Manual,21.43,1364,87.2,5,16.5,0.068283768,4
4.5,Manual,15.8,2148,170,5,26,0.052832696,7
5.8,Manual,21.1,1248,73.9,5,3.2,0.201196212,11
6.71,Automatic,16,1497,117.3,7,9.48,0.101013457,4
6.71,Manual,24.4,1120,71,5,4,0.183917594,6
4.25,Automatic,14.21,2143,203,5,26.5,0.052832696,7
6.71,Automatic,14.8,1595,120.7,5,11.77,0.052832696,7
6.85,Automatic,15,2143,204,5,37,0.052832696,4
5.75,Manual,17.8,1497,117.3,5,8.75,0.101013457,5
5.8,Manual,17,1086,74,5,1.95,0.183917594,14
4.5,Manual,17,1497,118,5,3.75,0.101013457,10
4.25,Manual,16.2,1599,103.2,5,2.5,0.183917594,11
5.75,Automatic,13.5,1999,246.74,5,34.5,0.006645622,4
5.5,Manual,18,1198,86.7,5,4.65,0.101013457,6
6.85,Automatic,18.86,1598,122,4,32,0.004319654,6
8.305,Automatic,13.5,2987,282,5,62.81,0.052832696,4
4.5,Manual,21.1,814,55.2,5,3.25,0.183917594,7
3.75,Manual,20.51,998,67.04,5,3.1,0.201196212,7
8.305,Manual,21.1,1248,73.9,5,3.91,0.201196212,10
4.5,Automatic,16.07,1995,181,5,11,0.044359528,10
4.25,Manual,13.49,2179,138.03,5,3.5,0.030902143,7
4.5,Automatic,20.38,1968,143,5,16.5,0.039209171,7
5.8,Automatic,12.7,2179,187.7,5,30,0.009968433,9
4.25,Automatic,12,2987,224,7,28,0.052832696,11
5.8,Automatic,13.5,2477,175.56,7,28,0.004485795,3
4.25,Manual,19.7,796,46.3,5,0.92,0.201196212,11
4.25,Manual,14,1061,64,5,2.75,0.201196212,8
8.305,Automatic,12.7,2179,187.7,5,53.83,0.009968433,4
4.25,Manual,17.01,1591,121.3,5,4.95,0.183917594,10
5.8,Automatic,16.73,2993,218,5,33.5,0.044359528,8
6.85,Automatic,14.74,2993,270.9,5,27.95,0.006645622,8
5.8,Automatic,13.7,1798,157.75,5,7.25,0.028742316,11
6.71,Automatic,15.73,1968,174.33,5,25.71,0.039209171,4
8.305,Automatic,12.7,2179,187.7,5,29.67,0.009968433,7
4.25,Automatic,14.84,2143,170,5,19,0.052832696,8
6.71,Manual,15.4,2179,120,7,13.05,0.045190231,4
5.75,Automatic,21.76,1995,190,5,25.5,0.044359528,6
4.25,Manual,15.4,1497,117.3,7,8.5,0.101013457,4
4.5,Automatic,16,2400,215,5,7.25,0.003488952,11
4.25,Manual,13.2,1495,94,5,0.8,0.183917594,16
4.25,Manual,17.19,1197,81.86,5,6.9,0.183917594,4
8.305,Automatic,11.5,2996,367,5,70.99,0.052832696,3
3.75,Manual,21.1,814,55.2,5,2.25,0.183917594,6
6.71,Manual,18.9,1197,81.86,5,5.5,0.183917594,3
5.75,Manual,13,1493,100,5,4.35,0.101013457,8
3.75,Manual,16.47,1198,73.9,5,2.25,0.052334275,11
5.75,Automatic,15.26,1798,187.74,5,24.5,0.039209171,5
5.8,Manual,17,1968,74,5,5.45,0.052334275,11
8.305,Manual,15.29,1591,121.3,5,12.03,0.183917594,4
5.75,Automatic,11.74,1796,186,5,8.5,0.052832696,10
5.75,Automatic,16.82,1998,189.08,4,28.5,0.004319654,7
4.25,Manual,17,1086,74,5,1.2,0.183917594,15
6.85,Manual,23.59,1364,67.04,5,5.75,0.068283768,8
5.5,Manual,19.4,1198,86.8,5,3.2,0.101013457,7
8.305,Automatic,21.4,1197,83.1,5,9.89,0.201196212,3
8.305,Automatic,20,1968,138.1,5,6.58,0.028742316,9
6.71,Manual,21.1,814,55.2,5,4.06,0.183917594,3
8.305,Manual,20.37,1461,108.45,5,13.37,0.02409038,2
